Task,Learner,Tuning,HPO,Criterion,Sampling,Factor,F1 Score,Precision,Recall,Accuracy,Brier Score,ROC AUC Score,Confusion Matrix,Best Threshold
pocketclosure,rf,cv,rs,brier_score,upsampling,2,0.547,0.606,0.4985,0.918,0.0603,0.9117,"[[  998  1004]
 [  649 17497]]",
pocketclosure,rf,cv,rs,brier_score,downsampling,2,0.575,0.5811,0.5689,0.9164,0.0619,0.9124,"[[ 1139   863]
 [  821 17325]]",
pocketclosure,rf,cv,rs,brier_score,smote,2,0.4974,0.3559,0.8257,0.8342,0.1191,0.9119,"[[ 1653   349]
 [ 2991 15155]]",
pocketclosure,rf,cv,rs,brier_score,,2,0.4871,0.6568,0.3871,0.919,0.0591,0.9112,"[[  775  1227]
 [  405 17741]]",
pocketclosure,rf,cv,rs,brier_score,upsampling,2,0.5478,0.6194,0.491,0.9194,0.0605,0.9099,"[[  983  1019]
 [  604 17542]]",
pocketclosure,rf,cv,rs,brier_score,downsampling,2,0.5745,0.5681,0.5809,0.9145,0.0625,0.9106,"[[ 1163   839]
 [  884 17262]]",
pocketclosure,rf,cv,rs,brier_score,smote,2,0.4535,0.6862,0.3387,0.9189,0.0599,0.9099,"[[  678  1324]
 [  310 17836]]",
pocketclosure,mlp,holdout,hebo,f1,,2,0.5686,0.4883,0.6803,0.8974,0.0662,0.9069,"[[ 1362   640]
 [ 1427 16719]]",0.89
pocketclosure,mlp,holdout,hebo,f1,upsampling,2,0.5327,0.6038,0.4765,0.9169,0.0686,0.9003,"[[  954  1048]
 [  626 17520]]",0.38
pocketclosure,mlp,holdout,hebo,f1,downsampling,2,0.4894,0.6549,0.3906,0.919,0.0639,0.9095,"[[  782  1220]
 [  412 17734]]",0.37
pocketclosure,mlp,holdout,hebo,f1,smote,2,0.5207,0.3892,0.7862,0.8562,0.0735,0.9021,"[[ 1574   428]
 [ 2470 15676]]",0.95
pocketclosure,mlp,holdout,hebo,f1,,2,0.5568,0.4646,0.6948,0.8901,0.1191,0.8902,"[[ 1391   611]
 [ 1603 16543]]",0.31
pocketclosure,mlp,holdout,hebo,f1,upsampling,2,0.5646,0.5657,0.5634,0.9136,0.0747,0.9039,"[[ 1128   874]
 [  866 17280]]",0.5
pocketclosure,mlp,holdout,hebo,f1,downsampling,2,0.5632,0.482,0.6773,0.8956,0.0688,0.9064,"[[ 1356   646]
 [ 1457 16689]]",0.58
pocketclosure,mlp,holdout,hebo,f1,smote,2,0.3859,0.5587,0.2947,0.9068,0.0681,0.8965,"[[  590  1412]
 [  466 17680]]",0.68
pocketclosure,mlp,holdout,hebo,brier_score,,2,0.4944,0.6616,0.3946,0.9198,0.059,0.9087,"[[  790  1212]
 [  404 17742]]",
pocketclosure,mlp,holdout,hebo,brier_score,upsampling,2,0.4753,0.6575,0.3721,0.9184,0.0608,0.9034,"[[  745  1257]
 [  388 17758]]",
pocketclosure,mlp,holdout,hebo,brier_score,downsampling,2,0.433,0.7013,0.3132,0.9185,0.0612,0.9075,"[[  627  1375]
 [  267 17879]]",
pocketclosure,mlp,holdout,hebo,brier_score,smote,2,0.3751,0.7397,0.2512,0.9168,0.0609,0.9088,"[[  503  1499]
 [  177 17969]]",
pocketclosure,mlp,holdout,hebo,brier_score,,2,0.3883,0.728,0.2647,0.9171,0.0624,0.9071,"[[  530  1472]
 [  198 17948]]",
pocketclosure,mlp,holdout,hebo,brier_score,upsampling,2,0.5607,0.5566,0.5649,0.9121,0.0749,0.9059,"[[ 1131   871]
 [  901 17245]]",
pocketclosure,mlp,holdout,hebo,brier_score,downsampling,2,0.5442,0.6111,0.4905,0.9184,0.0635,0.9108,"[[  982  1020]
 [  625 17521]]",
pocketclosure,mlp,holdout,hebo,brier_score,smote,2,0.3742,0.6794,0.2582,0.9142,0.0629,0.9,"[[  517  1485]
 [  244 17902]]",
pocketclosure,mlp,holdout,rs,f1,,2,0.3419,0.7404,0.2223,0.915,0.0604,0.9039,"[[  445  1557]
 [  156 17990]]",
pocketclosure,mlp,holdout,rs,f1,upsampling,2,0.5766,0.5597,0.5944,0.9132,0.0653,0.9081,"[[ 1190   812]
 [  936 17210]]",
pocketclosure,mlp,holdout,rs,f1,downsampling,2,0.5573,0.6218,0.505,0.9203,0.0593,0.9099,"[[ 1011   991]
 [  615 17531]]",
pocketclosure,mlp,holdout,rs,f1,smote,2,0.4409,0.5979,0.3492,0.912,0.0661,0.8836,"[[  699  1303]
 [  470 17676]]",
pocketclosure,mlp,holdout,rs,f1,,2,0.2124,0.7834,0.1229,0.9095,0.063,0.9064,"[[  246  1756]
 [   68 18078]]",
pocketclosure,mlp,holdout,rs,f1,upsampling,2,0.5628,0.5719,0.5539,0.9145,0.0632,0.9096,"[[ 1109   893]
 [  830 17316]]",
pocketclosure,mlp,holdout,rs,f1,downsampling,2,0.5556,0.5582,0.5529,0.9121,0.065,0.9043,"[[ 1107   895]
 [  876 17270]]",
pocketclosure,mlp,holdout,rs,f1,smote,2,0.4512,0.6462,0.3467,0.9162,0.0633,0.8901,"[[  694  1308]
 [  380 17766]]",
pocketclosure,mlp,holdout,rs,brier_score,,2,0.4566,0.6881,0.3417,0.9192,0.0592,0.9079,"[[  684  1318]
 [  310 17836]]",
pocketclosure,mlp,holdout,rs,brier_score,upsampling,2,0.5518,0.5276,0.5784,0.9066,0.0719,0.8948,"[[ 1158   844]
 [ 1037 17109]]",
pocketclosure,mlp,holdout,rs,brier_score,downsampling,2,0.5592,0.6146,0.513,0.9196,0.0596,0.9096,"[[ 1027   975]
 [  644 17502]]",
pocketclosure,mlp,holdout,rs,brier_score,smote,2,0.3971,0.7299,0.2727,0.9177,0.0608,0.9035,"[[  546  1456]
 [  202 17944]]",
pocketclosure,mlp,holdout,rs,brier_score,,2,0.4808,0.6776,0.3726,0.92,0.0585,0.9118,"[[  746  1256]
 [  355 17791]]",
pocketclosure,mlp,holdout,rs,brier_score,upsampling,2,0.5789,0.5556,0.6044,0.9126,0.0646,0.9105,"[[ 1210   792]
 [  968 17178]]",
pocketclosure,mlp,holdout,rs,brier_score,downsampling,2,0.5811,0.5536,0.6114,0.9124,0.0646,0.9123,"[[ 1224   778]
 [  987 17159]]",
pocketclosure,mlp,holdout,rs,brier_score,smote,2,0.4408,0.6514,0.3332,0.916,0.063,0.8927,"[[  667  1335]
 [  357 17789]]",
pocketclosure,mlp,cv,hebo,f1,,2,0.5273,0.4014,0.7682,0.8631,0.0597,0.9072,"[[ 1538   464]
 [ 2294 15852]]",0.84
pocketclosure,mlp,cv,hebo,f1,upsampling,2,0.5372,0.4401,0.6893,0.882,0.0741,0.8903,"[[ 1380   622]
 [ 1756 16390]]",0.61
pocketclosure,mlp,cv,hebo,f1,downsampling,2,0.5723,0.4991,0.6708,0.9004,0.0657,0.9088,"[[ 1343   659]
 [ 1348 16798]]",0.57
pocketclosure,mlp,cv,hebo,f1,smote,2,0.4189,0.273,0.8996,0.752,0.0615,0.9048,"[[ 1801   201]
 [ 4795 13351]]",0.96
pocketclosure,mlp,cv,hebo,f1,,2,0.5413,0.4278,0.7368,0.8759,0.0608,0.9074,"[[ 1475   527]
 [ 1973 16173]]",0.77
pocketclosure,mlp,cv,hebo,f1,upsampling,2,0.5673,0.5437,0.5929,0.9101,0.0646,0.9042,"[[ 1187   815]
 [  996 17150]]",0.54
pocketclosure,mlp,cv,hebo,f1,downsampling,2,0.575,0.5144,0.6518,0.9043,0.0654,0.9102,"[[ 1305   697]
 [ 1232 16914]]",0.56
pocketclosure,mlp,cv,hebo,brier_score,,2,0.5237,0.6371,0.4446,0.9196,0.0593,0.906,"[[  890  1112]
 [  507 17639]]",
pocketclosure,mlp,cv,hebo,brier_score,downsampling,2,0.5748,0.5608,0.5894,0.9133,0.0643,0.9074,"[[ 1180   822]
 [  924 17222]]",
pocketclosure,mlp,cv,hebo,brier_score,smote,2,0.3683,0.7048,0.2493,0.915,0.0626,0.8988,"[[  499  1503]
 [  209 17937]]",
pocketclosure,mlp,cv,hebo,brier_score,,2,0.5101,0.6067,0.4401,0.916,0.0624,0.9008,"[[  881  1121]
 [  571 17575]]",
pocketclosure,mlp,cv,hebo,brier_score,upsampling,2,0.5534,0.5347,0.5734,0.908,0.0719,0.8981,"[[ 1148   854]
 [  999 17147]]",
pocketclosure,mlp,cv,hebo,brier_score,downsampling,2,0.5368,0.6072,0.481,0.9175,0.063,0.898,"[[  963  1039]
 [  623 17523]]",
pocketclosure,mlp,cv,hebo,brier_score,smote,2,0.3993,0.6682,0.2847,0.9149,0.0635,0.8947,"[[  570  1432]
 [  283 17863]]",
pocketclosure,mlp,cv,rs,f1,upsampling,2,0.0099,0.9091,0.005,0.9011,0.0806,0.883,"[[   10  1992]
 [    1 18145]]",0.01
pocketclosure,mlp,cv,rs,f1,downsampling,2,0.0,0.0,0.0,0.9006,0.064,0.8928,"[[    0  2002]
 [    0 18146]]",0.0
pocketclosure,mlp,cv,rs,brier_score,,2,0.473,0.6837,0.3616,0.9199,0.0605,0.9047,"[[  724  1278]
 [  335 17811]]",
pocketclosure,mlp,cv,rs,brier_score,downsampling,2,0.5528,0.5619,0.544,0.9125,0.0648,0.9013,"[[ 1089   913]
 [  849 17297]]",
pocketclosure,mlp,cv,rs,brier_score,smote,2,0.3785,0.6485,0.2672,0.9128,0.0653,0.8928,"[[  535  1467]
 [  290 17856]]",
